,crop,plot,trt,date_sensed,value,min,max,mean,count,crop varieties,planting density,value planting density,sowing date,days after sowing
83,Maize,4,Farmer Practice S,2018-01-22,ndvi,0.831841230392456,0.9471628665924072,0.933968270888351,426,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,84
84,Maize,4,N-Rich strip,2018-02-11,ndvi,0.8791361451148987,0.9101934432983398,0.9010521815373347,104,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,104
85,Maize,4,Farmer Practice N,2018-02-11,ndvi,0.8588828444480896,0.917123556137085,0.8976291769801981,1010,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,104
86,Maize,4,Farmer Practice S,2018-02-11,ndvi,0.8389071822166443,0.909277617931366,0.8920273758436033,426,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,104
87,Maize,4,N-Rich strip,2018-02-21,ndvi,0.8772955536842346,0.9046502709388733,0.8979434233445388,104,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,114
88,Maize,4,Farmer Practice N,2018-02-21,ndvi,0.864661693572998,0.9096229076385498,0.8942243217241646,1010,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,114
89,Maize,4,Farmer Practice S,2018-02-21,ndvi,0.8426463007926941,0.904836893081665,0.889364179870892,426,Caribu (Asgrow),"107,500",seeds ha-1,2017-10-30,114
90,Maize,6,N-Rich strip,2018-01-02,ndvi,0.7174808382987976,0.7993795275688171,0.7618585162692599,36,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,50
91,Maize,6,Farmer Practice E,2018-01-02,ndvi,0.5887458324432373,0.8129421472549438,0.7697957879779884,389,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,50
92,Maize,6,Farmer Practice W,2018-01-02,ndvi,0.49622926115989685,0.8080081939697266,0.7443402067143866,376,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,50
93,Maize,6,N-Rich strip,2018-01-12,ndvi,0.8953458070755005,0.9561837911605835,0.9327893786960177,36,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,60
94,Maize,6,Farmer Practice E,2018-01-12,ndvi,0.7796851992607117,0.9604247808456421,0.9357967425741083,389,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,60
95,Maize,6,Farmer Practice W,2018-01-12,ndvi,0.5733186602592468,0.9611111283302307,0.9152932674326795,376,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,60
96,Maize,6,N-Rich strip,2018-01-22,ndvi,0.9062014222145081,0.9331742525100708,0.9205765194363065,36,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,70
97,Maize,6,Farmer Practice E,2018-01-22,ndvi,0.8215384483337402,0.9361578822135925,0.9208182602124839,389,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,70
98,Maize,6,Farmer Practice W,2018-01-22,ndvi,0.6148631572723389,0.9334917068481445,0.8984982105011635,376,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,70
99,Maize,6,N-Rich strip,2018-02-11,ndvi,0.9203301668167114,0.9534711241722107,0.9458827972412109,36,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,90
100,Maize,6,Farmer Practice E,2018-02-11,ndvi,0.8943838477134705,0.958976149559021,0.9465616025164685,389,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,90
101,Maize,6,Farmer Practice W,2018-02-11,ndvi,0.6896877884864807,0.9570173621177673,0.932282305778341,376,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,90
102,Maize,6,N-Rich strip,2018-02-21,ndvi,0.9162716865539551,0.9449472427368164,0.9368933571709527,36,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,100
103,Maize,6,Farmer Practice E,2018-02-21,ndvi,0.8860446214675903,0.9497236013412476,0.938389010784865,389,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,100
104,Maize,6,Farmer Practice W,2018-02-21,ndvi,0.5764041543006897,0.9457896947860718,0.917683702834109,376,Caribu (Asgrow),"106,550",seeds ha-1,2017-11-13,100
105,Wheat,7,N-Rich strip,2018-01-02,ndvi,0.7095751166343689,0.8034895062446594,0.759235278980152,74,CIRNO C2008,190,kg ha-1,2017-11-29,34
106,Wheat,7,Farmer Practice E,2018-01-02,ndvi,0.6681677103042603,0.8173076510429382,0.7496851352298206,1115,CIRNO C2008,190,kg ha-1,2017-11-29,34
107,Wheat,7,Farmer Practice W,2018-01-02,ndvi,0.674774169921875,0.8020734190940857,0.7388596212682121,459,CIRNO C2008,190,kg ha-1,2017-11-29,34
